kod knihy,Nazev,Autor,Kategorie,Obor/zanr,Umisteni,Signatura,Způsob ziskani,mautritni,pujcena
1217,Estebackou Prahou,"Vlcek, Pavel",odborna,historie,KPGO,KP99/11,koupena,no,no
1219,Průvodce protektoratni Prahou,,odborna,historie,KPGO,KP99/20,koupena,no,no
1220,Skryta slava Indie,,odborna,historie,spotreba,Zk09/31,koupena,no,no
1221,Územi ciziho zalu (Lidie),,odborna,historie,spotreba,Zk09/32,koupena,no,no
1222,"Den, kdy uderilo zlo (Lidice)","Bednarikova, Jarmila",odborna,historie,spotreba,Zk09/33,koupena,no,no
1223,Lidice ocima pametniků a autorů,,odborna,historie,spotreba,Zk13/66,koupena,no,no
1224,"Ahoj, sochy (Lidice)",,odborna,historie,inventar,ZKQI6,koupena,no,no
1225,Premozitele casu,"Rosen, Steven J.",odborna,historie,dar,,koupena,no,no
,Sto let ceskych Vanoc,"Stolbova, Eva",odborna,historie,dar,,koupena,no,no
,,"Cilek, Roman",odborna,historie,dar,,koupena,no,no
128,Kronika dejin 20. stoleti,"Cilek, R., Cermak, F.",odborna,historie,dar,,koupena,no,no
135,Americka obcanska valka,"Struskova, Olga",odborna,historie,dar,,koupena,no,no
228,Dejiny sveta v obrazech,,odborna,historie,KPGO,KP99/36,koupena,no,no
229,Dejiny Evropy,"Kourovi, Petr a Pavlina",odborna,historie,spotreba,Zk18/22,koupena,no,no
270,Krizove vypravy na vychod,,,,,,koupena,no,no
272,Lide v praveku,,odborna,historie,inventar,Zk202,koupena,no,no
273,Gladiatori,,odborna,historie,inventar,Zk213,koupena,no,no
274,Rytiri,,odborna,historie,inventar,Zk329,koupena,no,no
275,Slava barbarů,,odborna,historie,inventar,Zk330,koupena,no,no
279,Mumie,,odborna,historie,inventar,Zk385,koupena,no,no
320,"Lide, kteri zmenili svet",,odborna,historie,inventar,Zk387,koupena,no,no
359,Staroveky Rim,,odborna,historie,inventar,Zk388,koupena,no,no
360,Cesty do neznama,,odborna,historie,inventar,Zk389,koupena,no,no
395,"Vek stary a novy, Evropa 17. a 18. stoleti",,odborna,historie,inventar,Zk390,koupena,no,no
398,Atlas zahadnych mist,,odborna,historie,inventar,Zk395,koupena,no,no
460,Dejiny lidstva,,odborna,historie,inventar,Zk436,koupena,no,no
552,Historie sveta,,odborna,historie,inventar,Zk480,koupena,no,no
836,Archeologicky atlas,,odborna,historie,inventar,Zk481,koupena,no,no
912,Atentat (Poerace Anthropoid 1941-1942),,odborna,historie,inventar,Zk518,koupena,no,no
916,234 ceskych osobnosti,,odborna,historie,inventar,Zk521,koupena,no,no
918,Pirati,,odborna,historie,inventar,Zk592,koupena,no,no
919,Pirati,,odborna,historie,inventar,Zk691,koupena,no,no
940,Staroveke civilizace (Encyklopedie skolaka),,odborna,historie,inventar,Zk989,koupena,no,no
941,Slavni moreplavci,,odborna,historie,dar,,koupena,no,no
942,Průkopnici vedy a techniky v ceskych…,"Cornej, Petr",odborna,historie,dar,,koupena,no,no
981,Lidove tradice,,odborna,historie,dar,,koupena,no,no
913,Velky atlas svetovych dejin,,odborna,historie,dar,,koupena,no,no
,Encyklopedie slechtickych rodů,,odborna,historie,KPGO,KP99/20,koupena,no,no
618,Chemie – sbirka prikladů pro SS,"Krivsky, Petr",odborna,historie,KPGO,KP99/21,koupena,no,no
619,Chemie – sbirka prikladů pro SS,"Kvitek, Martin",odborna,historie,KPGO,KP99/22,koupena,no,no
620,Chemie pro ctyrleta gymnazia 1,Sottnerova Dagmar,odborna,historie,spotreba,Zk09/7,koupena,no,no
621,Chemie pro gymnazia 2,,odborna,historie,dar,,koupena,no,no
627,Chemie pro ctyrleta gymnazia 3,"Jurik, Pavel",odborna,historie,spotreba,Zk22/24,koupena,no,no
639,Cviceni k chemii v kostce pro SS,,odborna,chemie,inventar,Zk761,koupena,no,no
640,Cviceni k chemii v kostce pro SS,,odborna,chemie,inventar,Zk762,koupena,no,no
127,"Rady Cechům, jak se hrave priucit cestine",,odborna,chemie,inventar,Zk763,koupena,no,no
219,Ilustrovana encyklopedie I. - III.,,odborna,chemie,inventar,Zk764,koupena,no,no
224,Akademicky slovnik cizich slov I. A-K,,odborna,chemie,inventar,Zk770,koupena,no,no
225,Akademicky slovnik cizich slov II. L-Z,,odborna,chemie,inventar,Zk782,koupena,no,no
257,Slovnik cizich slov,,odborna,chemie,inventar,Zk783,koupena,no,no
995,Slovnik cizich slov,"Eisner, Pavel",odborna,jazyk,inventar,Zk200,koupena,no,no
304,Cestina poklepem a poslechem,,odborna,jazyk,inventar,Zk319,koupena,no,no
309,Cteme je spravne?,,odborna,jazyk,inventar,Zk325,koupena,no,no
312,Cestina – rec a jazyk,,odborna,jazyk,inventar,Zk326,koupena,no,no
490,Slovnik spisovne cestiny,,odborna,jazyk,inventar,Zk362,koupena,no,no
491,Slovnik spisovne cestiny,,odborna,jazyk,spotreba,Zk09/22,koupena,no,no
226,Slovnik spisovne cestiny,"Eisner, Pavel",odborna,jazyk,inventar,Zk420,koupena,no,no
492,Slovnik spisovne cestiny,,odborna,jazyk,inventar,Zk425,koupena,no,no
493,Slovnik spisovne cestiny,"Cechova, Marie",odborna,jazyk,inventar,Zk428,koupena,no,no
494,Slovnik spisovne cestiny,,odborna,jazyk,inventar,Zk623,koupena,no,no
495,Slovnik spisovne cestiny,,odborna,jazyk,inventar,Zk624,koupena,no,no
588,Po kom se jmenujeme,,odborna,jazyk,inventar,Zk327,koupena,no,no
694,Cesky jazyk v kostce,,odborna,jazyk,inventar,Zk625,koupena,no,no
695,Cesky jazyk v kostce,,odborna,jazyk,inventar,Zk626,koupena,no,no
839,Atlas jazyků sveta,,odborna,jazyk,inventar,Zk627,koupena,no,no
